New York,40.6943,-73.9249,18972871
Los Angeles,34.1141,-118.4068,12121244
Chicago,41.8375,-87.6866,8595181
Miami,25.784,-80.2101,5711945
Dallas,32.7935,-96.7667,5668165
Houston,29.786,-95.3885,5650910
Philadelphia,40.0077,-75.1339,5512873
Atlanta,33.7628,-84.422,5046555
Washington,38.9047,-77.0163,4810669
Boston,42.3188,-71.0852,4208580
Phoenix,33.5722,-112.0892,4047095
Detroit,42.3834,-83.1024,3522856
Seattle,47.6211,-122.3244,3438221
San Francisco,37.7558,-122.4449,3290197
San Diego,32.8313,-117.1222,3084174
Minneapolis,44.9635,-93.2678,2856952
Brooklyn,40.6501,-73.9496,2736074
Tampa,27.9945,-82.4447,2683956
Denver,39.762,-104.8758,2650725
Queens,40.7498,-73.7976,2405464
Baltimore,39.3051,-76.6144,2205092
Las Vegas,36.2333,-115.2654,2150373
St. Louis,38.6359,-90.2451,2092481
Portland,45.5371,-122.65,2036875
Riverside,33.9381,-117.3949,2022285
Orlando,28.4773,-81.337,1927699
Sacramento,38.5677,-121.4685,1924167
San Juan,18.3985,-66.061,1915105
San Antonio,29.4632,-98.5238,1910785
San Jose,37.3012,-121.848,1729879
Pittsburgh,40.4397,-79.9763,1720279
Cincinnati,39.1413,-84.506,1712287
Manhattan,40.7834,-73.9662,1694263
Cleveland,41.4764,-81.6805,1683059
Indianapolis,39.7771,-86.1458,1659305
Austin,30.3005,-97.7522,1659251
Kansas City,39.1238,-94.5541,1644497
Columbus,39.9862,-82.9855,1556848
Charlotte,35.2083,-80.8303,1516107
Virginia Beach,36.7335,-76.0435,1500764
Bronx,40.8501,-73.8662,1472654
Milwaukee,43.0642,-87.9675,1340981
Providence,41.823,-71.4187,1270149
Jacksonville,30.3322,-81.6749,1220191
Salt Lake City,40.7776,-111.9311,1135344
Nashville,36.1715,-86.7842,1098486
Raleigh,35.8324,-78.6429,1062018
Memphis,35.1087,-89.9663,1034498
Louisville,38.1663,-85.6485,1022630
Richmond,37.5295,-77.4756,1008069
Buffalo,42.9018,-78.8487,1004655
Oklahoma City,35.4676,-97.5136,994284
Bridgeport,41.1918,-73.1954,975078
New Orleans,30.0687,-89.9288,925443
Fort Worth,32.7817,-97.3474,908469
Hartford,41.7661,-72.6834,907046
Tucson,32.1541,-110.8787,875284
Honolulu,21.3294,-157.846,835291
McAllen,26.2252,-98.2467,809002
Omaha,41.2627,-96.0529,806485
El Paso,31.8476,-106.43,794344
Albuquerque,35.1054,-106.6465,765693
Rochester,43.168,-77.6162,737309
Sarasota,27.3387,-82.5432,727388
Fresno,36.783,-119.7939,719558
Tulsa,36.1283,-95.9042,715983
Allentown,40.5961,-75.4756,714136
Dayton,39.7805,-84.2003,709300
Birmingham,33.5279,-86.7971,704676
Charleston,32.8168,-79.9687,685517
Cape Coral,26.6443,-81.9957,682773
Columbia,34.0378,-80.9036,640502
Concord,37.9722,-122.0016,640270
Colorado Springs,38.8674,-104.7605,628808
Springfield,42.1155,-72.5395,620494
Knoxville,35.9692,-83.9496,619925
Baton Rouge,30.442,-91.1311,610751
Ogden,41.2279,-111.9682,608259
Grand Rapids,42.9619,-85.6562,604311
Albany,42.6664,-73.7987,604077
Bakersfield,35.3529,-119.0359,590845
Mission Viejo,33.6096,-117.6551,588540
New Haven,41.3113,-72.9246,587648
Worcester,42.2705,-71.8079,573573
Provo,40.2457,-111.6457,551645
Akron,41.0798,-81.5219,546549
Palm Bay,27.9631,-80.6593,528322
Des Moines,41.5725,-93.6105,514654
Murrieta,33.5719,-117.1909,509526
Mesa,33.4015,-111.7178,497752
Staten Island,40.5834,-74.1496,495747
Wichita,37.6895,-97.3443,491916
Toledo,41.6638,-83.5827,490832
Harrisburg,40.2752,-76.8843,472261
Port St. Lucie,27.2796,-80.3884,468979
Long Beach,33.7977,-118.167,466565
Reno,39.5497,-119.8483,463328
Madison,43.0822,-89.393,461778
Little Rock,34.7256,-92.3577,457379
Greenville,34.8354,-82.3646,450487
Denton,33.2175,-97.1418,445814
Spokane,47.6671,-117.433,440270
Oakland,37.7904,-122.2166,437548
Lancaster,40.042,-76.3012,430621
Poughkeepsie,41.695,-73.9211,423386
Boise,43.6005,-116.2308,422665
Winston-Salem,36.1029,-80.261,420400
Syracuse,43.0407,-76.1437,418875
Augusta,33.3645,-82.0708,409668
Stockton,37.9765,-121.3109,406822
Palm Coast,29.5389,-81.2457,403834
Chattanooga,35.066,-85.2481,403233
Kissimmee,28.3041,-81.4169,399929
Durham,35.9792,-78.9022,399762
Arlington,32.6998,-97.125,392304
Victorville,34.5277,-117.3536,389060
Aurora,39.7083,-104.7237,383496
Modesto,37.6375,-121.0028,382994
Lancaster,34.6935,-118.1753,381732
Fayetteville,36.0714,-94.1661,381636
Scranton,41.4044,-75.6649,376974
Oxnard,34.1964,-119.1815,366330
Youngstown,41.0993,-80.6463,363541
Indio,33.7346,-116.2346,361831
Pensacola,30.4413,-87.1911,360711
Anaheim,33.839,-117.8574,348204
Bonita Springs,26.3558,-81.7859,347581
Greensboro,36.0956,-79.8271,345270
Huntsville,34.6981,-86.6412,339136
Corpus Christi,27.7254,-97.3767,333764
Fort Wayne,41.0888,-85.1436,330305
Fayetteville,35.085,-78.9772,328827
Ann Arbor,42.2759,-83.731,327814
Jackson,32.3157,-90.2125,326977
Antioch,37.9787,-121.796,322796
Mobile,30.6782,-88.1162,322079
Lexington,38.0423,-84.4587,321354
Asheville,35.5707,-82.5537,316694
Trenton,40.2237,-74.7641,316436
Santa Rosa,38.4458,-122.7067,314196
Santa Ana,33.7367,-117.8819,313818
Lansing,42.7142,-84.5601,312829
Henderson,36.0133,-115.0381,311250
St. Paul,44.9478,-93.1039,309751
Lakeland,28.0557,-81.9545,308994
Newark,40.7245,-74.1725,306247
Fort Collins,40.5477,-105.0656,301596
Reading,40.34,-75.9267,299068
Springfield,37.1943,-93.2916,298722
Irvine,33.6772,-117.7738,297868
Anchorage,61.1508,-149.1091,292545
The Woodlands,30.1738,-95.5134,292380
South Bend,41.6767,-86.2696,290915
Rockford,42.2596,-89.064,289763
Savannah,32.0286,-81.1821,289607
Lincoln,40.8099,-96.6784,289136
Jersey City,40.7184,-74.0686,287146
Round Lake Beach,42.3791,-88.0811,287012
Flint,43.0236,-83.6921,286324
Shreveport,32.4653,-93.7955,286200
Plano,33.0502,-96.7486,282181
Myrtle Beach,33.7094,-78.8844,281180
Davenport,41.5565,-90.6053,280282
Canton,40.8078,-81.3676,277741
Santa Clarita,34.4175,-118.4964,275230
Chula Vista,32.6281,-117.0144,274818
Eugene,44.0564,-123.1174,273904
Chandler,33.2825,-111.8514,272439
Salem,44.9233,-123.0244,268634
Concord,35.3933,-80.6369,264492
Gilbert,33.31,-111.7463,262249
Columbus,32.51,-84.8771,262061
Aguadilla,18.4382,-67.1537,260331
